id,timestamp,remote_addr,remote_user,hostname,time_local,request,status,body_bytes_sent,http_referer,http_user_agent,http_x_forwarded_for,time_iso8601,request_method,request_length,bytes_sent,http_referer2,request_time,upstream_connect_time,upstream_header_time,upstream_response_time,upstream_addr,upstream_status,connection,connection_requests,data.srcip,agent.ip,rule.mitre.tactic
0,"Aug 29, 2023 @ 17:00:03.058",114.4.220.184,-,vm-director-nginx,30/Aug/2023:00:00:02 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 11; Redmi Note 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.98 Mobile Safari/537.36",-,2023-08-30T00:00:02+07:00,GET,79,330,-,0.002,0.001,0.002,0.002,10.45.184.148:32442,404,688306444,2,114.4.220.184,192.168.1.99,"[""non-attack""]"
1,"Aug 29, 2023 @ 17:00:33.070",10.200.160.148,-,vm-director-nginx,30/Aug/2023:00:00:31 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",-,2023-08-30T00:00:31+07:00,GET,79,330,-,0.002,0,0.002,0.002,10.45.184.154:32442,404,688306865,2,10.200.160.148,192.168.1.99,"[""non-attack""]"
2,"Aug 29, 2023 @ 17:00:33.072",180.248.46.18,-,vm-director-nginx,30/Aug/2023:00:00:31 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",-,2023-08-30T00:00:31+07:00,GET,92,330,-,0.003,0.001,0.002,0.002,10.45.184.148:32442,404,688306855,2,180.248.46.18,192.168.1.99,"[""non-attack""]"
3,"Aug 29, 2023 @ 17:00:33.076",125.166.3.1,-,vm-director-nginx,30/Aug/2023:00:00:32 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 12; M2003J15SC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",-,2023-08-30T00:00:32+07:00,GET,81,330,-,0.002,0,0.002,0.002,10.45.184.154:32442,404,688306869,2,125.166.3.1,192.168.1.99,"[""non-attack""]"
4,"Aug 29, 2023 @ 17:00:59.118",103.108.23.13,-,vm-director-nginx,30/Aug/2023:00:00:58 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",-,2023-08-30T00:00:58+07:00,GET,82,330,-,0.003,0.001,0.003,0.003,10.45.184.154:32442,404,688307225,2,103.108.23.13,192.168.1.99,"[""non-attack""]"
5,"Aug 29, 2023 @ 17:00:57.111",147.28.178.30,-,vm-director-nginx,30/Aug/2023:00:00:55 +0700,GET /assets/images/pattern/dot3.svg HTTP/2.0,404,2345,https://mmd.notrealdomain.com/assets/827c7db8/css/theme.min.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",-,2023-08-30T00:00:55+07:00,GET,83,2606,https://mmd.notrealdomain.com/assets/827c7db8/css/theme.min.css,0.008,0.001,0.009,0.009,175.45.185.12:80,404,688307186,5,147.28.178.30,192.168.1.99,"[""non-attack""]"
6,"Aug 29, 2023 @ 17:01:11.166",147.28.178.30,-,vm-director-nginx,30/Aug/2023:00:01:10 +0700,GET /assets/images/pattern/dot3.svg HTTP/2.0,404,2423,https://mmd.notrealdomain.com/assets/827c7db8/css/theme.min.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",-,2023-08-30T00:01:10+07:00,GET,84,2679,https://mmd.notrealdomain.com/assets/827c7db8/css/theme.min.css,1.182,0.001,0.025,0.025,175.45.185.12:80,404,688307272,22,147.28.178.30,192.168.1.99,"[""non-attack""]"
7,"Aug 29, 2023 @ 17:00:51.092",125.166.3.92,-,vm-director-nginx,30/Aug/2023:00:00:49 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36",-,2023-08-30T00:00:49+07:00,GET,81,330,-,0.003,0,0.001,0.001,10.45.184.148:32442,404,688307025,2,125.166.3.92,192.168.1.99,"[""non-attack""]"
8,"Aug 29, 2023 @ 17:01:55.171",114.4.217.1,-,vm-director-nginx,30/Aug/2023:00:01:55 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 Edg/116.0.1938.62",-,2023-08-30T00:01:55+07:00,GET,449,331,-,0.003,0.001,0.002,0.002,10.45.184.154:32442,404,688307917,1,114.4.217.1,192.168.1.99,"[""non-attack""]"
9,"Aug 29, 2023 @ 17:01:57.171",40.86.96.183,-,vm-director-nginx,30/Aug/2023:00:01:55 +0700,GET /wp-admin/css/ HTTP/1.1,404,211,binance.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",-,2023-08-30T00:01:55+07:00,GET,451,386,binance.com,0.001,0.001,0.001,0.001,10.45.184.143:32401,404,688307923,1,40.86.96.183,192.168.1.99,"[""non-attack""]"
10,"Aug 29, 2023 @ 17:02:03.172",125.166.2.169,-,vm-director-nginx,30/Aug/2023:00:02:02 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",-,2023-08-30T00:02:02+07:00,GET,78,330,-,0.002,0,0.001,0.001,10.45.184.154:32442,404,688307962,2,125.166.2.169,192.168.1.99,"[""non-attack""]"
11,"Aug 29, 2023 @ 17:02:03.182",40.86.96.183,-,vm-director-nginx,30/Aug/2023:00:02:01 +0700,GET /.well-known/ HTTP/1.1,404,210,binance.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",-,2023-08-30T00:02:01+07:00,GET,450,385,binance.com,0.001,0,0.001,0.001,10.45.184.143:32401,404,688307954,1,40.86.96.183,192.168.1.99,"[""non-attack""]"
12,"Aug 29, 2023 @ 17:01:35.149",103.171.147.64,-,vm-director-nginx,30/Aug/2023:00:01:33 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",-,2023-08-30T00:01:33+07:00,GET,75,330,-,0.002,0,0.002,0.002,10.45.184.148:32442,404,688307646,2,103.171.147.64,192.168.1.99,"[""non-attack""]"
13,"Aug 29, 2023 @ 17:01:39.151",202.58.200.245,-,vm-director-nginx,30/Aug/2023:00:01:38 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",-,2023-08-30T00:01:38+07:00,GET,86,330,-,0.003,0.001,0.002,0.002,10.45.184.148:32442,404,688307694,2,202.58.200.245,192.168.1.99,"[""non-attack""]"
14,"Aug 29, 2023 @ 17:01:43.150",165.227.188.42,-,vm-director-nginx,30/Aug/2023:00:01:42 +0700,GET /sitemap.xml HTTP/1.1,502,157,-,-,-,2023-08-30T00:01:42+07:00,GET,78,380,-,0.001,"-, -, -","-, -, -","0.000, 0.001, 0.000","10.45.184.136:31168, 10.45.184.135:31168, 10.45.184.134:31168 502, 502,",502,688307774,1,165.227.188.42,192.168.1.99,"[""non-attack""]"
